Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Multi-Month Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Other Bits Interactions Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs,Gifted Tier 2 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs
Wed Aug 03 2022,2.5,29.41,99.27,749,120,3,2,44,12.99,2431,772,30278,306,1775,15.63,0,2.91,0,1,1.84,0,0,0,0.3,0,7,7,2,2,0,0,0
Thu Aug 04 2022,3.5,29.44,70.23,880,97,1,1,22,0.95,2078,106,30128,428,1488,4.54,3.08,2.1,0,0,1.47,0,0,0,0,2,3,3,1,1,0,0,0
Fri Aug 05 2022,2,28.8,58.98,475,66,0,0,7,0.24,1255,90,14805,250,972,4.21,7.83,0,0,1,0.73,0,0,0,0,4,3,3,0,0,0,0,0
Sat Aug 06 2022,3,31.49,62.42,644,70,1,1,11,12.43,1674,145,21411,343,1247,8.59,2.36,0,0,0,1.21,0,0,0,0,1,4,4,0,0,0,0,0
Sun Aug 07 2022,2.5,33.09,64.51,500,62,0,2,16,3.21,1419,87,17548,272,1119,3.1,1.78,2.06,0,0,0.97,0,0,0,0,2,2,2,1,1,0,0,0
Mon Aug 08 2022,3,29.59,60.96,882,81,0,1,13,10.19,1651,83,22310,365,1261,5.9,0,1.47,0,6,1.25,0,0,0,0,0,3,3,1,1,0,0,0
Tue Aug 09 2022,3,31.58,48.86,385,67,0,2,17,10.02,1430,93,16760,342,1077,10.6,0,0,0,1,0.9,0,0,0,0,0,6,6,0,0,0,0,0
Wed Aug 10 2022,3,30.08,86.85,619,87,0,1,20,14.85,2219,335,31178,359,1673,4.61,3.08,0,0,1,1.46,0,0,0,0,2,2,2,0,0,0,0,0
Thu Aug 11 2022,3,29.67,73.39,467,81,1,0,13,5.59,1625,151,26713,364,1240,3.87,0,0,0,0.2,1.18,0,0,0,0,0,2,2,0,0,0,0,0
Fri Aug 12 2022,3,29.67,42.6,516,67,3,0,12,10.37,1338,64,15463,364,1001,5.53,0,0,0,11.21,0.82,0,0,0,0,0,4,4,0,0,0,0,0
Sat Aug 13 2022,4.5,31.95,58.16,729,94,0,2,25,10.98,2055,132,29489,507,1536,1.56,2.36,0,0,1.1,1.67,0,0,0,0,1,2,2,0,0,0,0,0
Sun Aug 14 2022,3,30.42,63.7,970,83,0,6,11,15.25,1713,123,22613,355,1293,4.68,7.51,0,0,20.66,1.33,0,0,0,0,4,2,2,0,0,0,0,0
Mon Aug 15 2022,2.5,28.85,84.51,879,94,1,0,12,9.64,1616,160,26284,312,1217,5.58,4.07,0,0,2,1.82,0,0,0,0,2,3,3,0,0,0,0,0
Tue Aug 16 2022,4.5,32.53,103.49,1751,155,22,2,42,15.69,2946,540,51537,498,2137,17.41,7.08,14.8,0,0,2.65,0,0,0,0,3,8,8,7,7,0,0,0
Wed Aug 17 2022,4.5,31.27,81.09,1549,176,2,0,47,23.28,2596,384,42006,518,1882,8.34,7.3,21.39,0,10.1,2.76,0,0,0,0,4,4,4,11,11,0,0,0
Thu Aug 18 2022,3.5,28.97,77.54,1202,150,0,1,21,6.43,2121,143,33729,435,1523,11.24,7.8,37.21,0,7.5,2.08,0,0,0,0,4,5,5,19,19,0,0,0
Fri Aug 19 2022,3.5,31.42,72.68,1269,126,0,2,26,9.9,1971,155,29144,401,1459,2.26,2.36,103.52,0,16.21,1.63,0,0,0,0,1,1,1,40,35,5,0,0
Sat Aug 20 2022,3,29.43,69.62,626,94,7,2,11,10.86,1973,124,25620,367,1487,18.61,0.22,12.18,0,0,1.72,0,0,0,0,1,8,8,5,5,0,0,0
Sun Aug 21 2022,2.5,29.03,71.53,706,84,16,1,30,0,1783,97,22104,310,1346,11.06,0,20.97,0,0,1.49,0,0,0,0,0,6,6,10,10,0,0,0
Mon Aug 22 2022,3,30.34,77.8,672,102,0,2,14,3.51,1865,122,27776,356,1389,8.89,0,0,0,0.56,1.96,0,0,0,0,0,5,5,0,0,0,0,0
Tue Aug 23 2022,3.5,32.73,68.83,628,108,31,0,24,5.7,1856,111,26637,385,1348,6.1,2.28,15.49,0,2.1,1.76,0,0,0,0,2,3,3,10,10,0,0,0
